,id,lat,lon,PLZ,north-south tilt,tilt align loss,tilt align percent,z_score
0,50.204347/9.876719,50.204347,9.876719,nan,3.3,0.12,12.19,0.47815005237327657
98,50.204347/10.022888,50.204347,10.022888,97688,-4.33,0.1,10.49,0.015403615314472761
196,50.204347/10.169056,50.204347,10.169056,97720,9.14,0.08,7.52,-0.7930416306059085
294,50.204347/10.315224,50.204347,10.315224,97711,1.03,0.13,12.69,0.6142519456258659
392,50.204347/10.461393,50.204347,10.461393,97631,3.71,0.13,12.89,0.668692702926902
490,50.204347/10.607561,50.204347,10.607561,96126,1.44,0.12,12.44,0.5462009989995712
588,50.204347/10.753729,50.204347,10.753729,96126,-4.33,0.1,10.23,-0.05536936917687367
686,50.204347/10.899898,50.204347,10.899898,96269,2.06,0.12,12.12,0.45909578731791395
784,50.204347/11.046066,50.204347,11.046066,96215,-4.54,0.12,11.69,0.34204815912068715
882,50.204347/11.192234,50.204347,11.192234,96277,6.41,0.1,10.23,-0.05536936917687367
980,50.204347/11.338403,50.204347,11.338403,96369,-1.65,0.12,12.2,0.4808720902383283
1078,50.204347/11.484571,50.204347,11.484571,95355,7.04,0.1,9.89,-0.14791865658863443
1176,50.204347/11.630739,50.204347,11.630739,95356,13.2,0.06,6.24,-1.1414624773325373
1274,50.204347/11.776908,50.204347,11.776908,95213,1.03,0.13,13.1,0.7258554980929893
1372,50.204347/11.923076,50.204347,11.923076,95126,-1.24,0.12,12.3,0.5080924688888465
1470,50.204347/12.069244,50.204347,12.069244,95173,-8.29,0.06,6.36,-1.1087980229519157
1568,50.280396/9.876719,50.280396,9.876719,97779,-2.89,0.12,12.23,0.48903820383348395
1666,50.280396/10.022888,50.280396,10.022888,97708,-2.06,0.13,12.52,0.5679773019199855
1764,50.280396/10.169056,50.280396,10.169056,97724,-2.06,0.13,12.59,0.5870315669753482
1862,50.280396/10.315224,50.280396,10.315224,97702,4.33,0.11,11.14,0.19233607654283907
